model,processing,cycle,variant,dataset,mAP,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_recall_0.1,Other_Amphibian_precision_0.1,Other_Amphibian_f1_0.1,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_recall_0.1,Small_Mammal_precision_0.1,Small_Mammal_f1_0.1,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_recall_0.1,Western_Leopard_Toad_precision_0.1,Western_Leopard_Toad_f1_0.1
rtdetr,plain,4,pretrained,test,0.25,0.9869058258682686,1.0,0.003437334743521946,0.006851119894598155,0.03604515200575642,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9999325600215807,0.5,1.0,0.010416666666666666,0.020618556701030927
rtdetr,plain,4,pretrained,val,0.0,0.9893238434163701,1.0,0.00368052999631947,0.007334066740007334,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,4,scratch,test,0.1,0.9948454679608422,1.0,0.01330603889457523,0.026262626262626262,0.3946977873718295,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9994604801726463,0.2,1.0,0.0030581039755351682,0.006097560975609756
rtdetr,plain,4,scratch,val,0.0,0.9260803253685816,1.0,0.009775171065493646,0.01936108422071636,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,0,pretrained,test,0.125,0.9691247687735123,0.7692307692307693,0.05235602094240838,0.09803921568627451,0.5971397733405288,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9995953601294848,0.25,1.0,0.008771929824561403,0.017391304347826087
yolo,clahe,0,pretrained,val,0.0,0.844178952719878,0.2,0.034482758620689655,0.058823529411764705,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,0,scratch,test,0.03571428571428571,0.8808014465944755,0.8461538461538461,0.11224489795918367,0.1981981981981982,0.38990825688073394,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9982465605611006,0.07142857142857142,1.0,0.020833333333333332,0.04081632653061224
yolo,clahe,0,scratch,val,0.0,0.5898830706659888,0.1,0.004784688995215311,0.0091324200913242,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,1,pretrained,test,0.125,0.9813044291563611,0.8461538461538461,0.032448377581120944,0.0625,0.4193874797625472,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9995953601294847,0.25,1.0,0.0032679738562091504,0.006514657980456026
yolo,clahe,1,pretrained,val,0.0,0.7139806812404677,0.1,0.07692307692307693,0.08695652173913043,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,1,scratch,test,0.25,0.9042358614095982,0.8461538461538461,0.3142857142857143,0.4583333333333333,0.41493524015110633,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9998651200431615,0.5,1.0,0.058823529411764705,0.1111111111111111
yolo,clahe,1,scratch,val,0.0,0.7159125571936961,0.1,0.027777777777777776,0.043478260869565216,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,2,pretrained,test,0.125,0.9740922411822168,0.9230769230769231,0.043010752688172046,0.0821917808219178,0.3425526173772261,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9995953601294847,0.25,1.0,0.0072992700729927005,0.014492753623188406
yolo,clahe,2,pretrained,val,0.0,0.7914844941535333,0.2,0.125,0.15384615384615385,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,2,scratch,test,0.25,0.9073015609086941,0.8461538461538461,0.08333333333333333,0.15172413793103448,0.4050863464651916,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9998651200431615,0.5,1.0,0.07692307692307693,0.14285714285714285
yolo,clahe,2,scratch,val,0.0,0.722025927808846,0.2,0.14285714285714285,0.16666666666666666,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,3,pretrained,test,0.5,0.9844740506723755,0.9230769230769231,0.06030150753768844,0.11320754716981132,0.41439557474365896,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.008264462809917356,0.01639344262295082
yolo,clahe,3,pretrained,val,0.0,0.9271860701576005,0.7,0.19444444444444445,0.30434782608695654,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,3,scratch,test,0.05555555555555555,0.9559058882214786,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.44502158661629787,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9989209603452927,0.1111111111111111,1.0,0.06666666666666667,0.125
yolo,clahe,3,scratch,val,0.0,0.6672597864768683,0.2,0.125,0.15384615384615385,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
yolo,clahe,4,pretrained,test,0.38445890387770715,0.5891163182237318,0.8307134220072552,0.6624879459980714,0.7371244635193133,0.6287430939226519,0.28903424041938763,0.7417127071823204,0.6236933797909407,0.677602523659306,0.731089258698941,0.5,0.5,1.0,0.6666666666666666,0.8459545496793384,0.3643424712137338,0.7735849056603774,0.3565217391304348,0.4880952380952381
