layer                                    name                type  gradient  parameters               shape        mu     sigma
  140          model.16.m.0.m.0.cv1.bn.weight         BatchNorm2d     False          64                [64]     0.894     0.174        float32
  140            model.16.m.0.m.0.cv1.bn.bias         BatchNorm2d     False          64                [64]    -0.449      0.75        float32
  141        model.16.m.0.m.0.cv2.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00362    0.0388        float32
  142          model.16.m.0.m.0.cv2.bn.weight         BatchNorm2d     False          64                [64]      0.84     0.133        float32
  142            model.16.m.0.m.0.cv2.bn.bias         BatchNorm2d     False          64                [64]    -0.511     0.599        float32
  143        model.16.m.0.m.1.cv1.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00381    0.0377        float32
  144          model.16.m.0.m.1.cv1.bn.weight         BatchNorm2d     False          64                [64]      0.83     0.169        float32
  144            model.16.m.0.m.1.cv1.bn.bias         BatchNorm2d     False          64                [64]    -0.654      0.64        float32
  145        model.16.m.0.m.1.cv2.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00211    0.0355        float32
  146          model.16.m.0.m.1.cv2.bn.weight         BatchNorm2d     False          64                [64]      1.89      0.68        float32
  146            model.16.m.0.m.1.cv2.bn.bias         BatchNorm2d     False          64                [64]     0.768     0.877        float32
  147                    model.17.conv.weight              Conv2d     False      589824    [256, 256, 3, 3] -0.000377    0.0155        float32
  148                      model.17.bn.weight         BatchNorm2d     False         256               [256]     0.772     0.135        float32
  148                        model.17.bn.bias         BatchNorm2d     False         256               [256]    -0.483     0.344        float32
  149                                model.18              Concat     False           0                  []         -         -              -
  150                model.19.cv1.conv.weight              Conv2d     False      393216    [512, 768, 1, 1]  -0.00123    0.0251        float32
  151                  model.19.cv1.bn.weight         BatchNorm2d     False         512               [512]     0.876     0.126        float32
  151                    model.19.cv1.bn.bias         BatchNorm2d     False         512               [512]    -0.508     0.439        float32
  152                model.19.cv2.conv.weight              Conv2d     False      393216    [512, 768, 1, 1]  -0.00133    0.0253        float32
  153                  model.19.cv2.bn.weight         BatchNorm2d     False         512               [512]     0.921     0.428        float32
  153                    model.19.cv2.bn.bias         BatchNorm2d     False         512               [512]    -0.401     0.517        float32
  154            model.19.m.0.cv1.conv.weight              Conv2d     False       32768    [128, 256, 1, 1]  -0.00291    0.0447        float32
  155              model.19.m.0.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.374       0.1        float32
  155                model.19.m.0.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.164     0.488        float32
  156            model.19.m.0.cv2.conv.weight              Conv2d     False       32768    [128, 256, 1, 1]  -0.00267    0.0307        float32
  157              model.19.m.0.cv2.bn.weight         BatchNorm2d     False         128               [128]     0.932     0.209        float32
  157                model.19.m.0.cv2.bn.bias         BatchNorm2d     False         128               [128]    -0.241     0.217        float32
  158            model.19.m.0.cv3.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]  -0.00327    0.0394        float32
  159              model.19.m.0.cv3.bn.weight         BatchNorm2d     False         256               [256]      1.35      0.48        float32
  159                model.19.m.0.cv3.bn.bias         BatchNorm2d     False         256               [256]    -0.351     0.477        float32
  160        model.19.m.0.m.0.cv1.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00177     0.026        float32
  161          model.19.m.0.m.0.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.964     0.127        float32
  161            model.19.m.0.m.0.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.787     0.471        float32
