model,processing,cycle,variant,dataset,mAP,mAP50-95,mAR,precision,recall,Other_Amphibian_ap,Other_Amphibian_precision_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_optimal_threshold,Other_Amphibian_specificity_optimal,Small_Mammal_ap,Small_Mammal_precision_optimal,Small_Mammal_recall_optimal,Small_Mammal_optimal_threshold,Small_Mammal_specificity_optimal,Western_Leopard_Toad_ap,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_optimal_threshold,Western_Leopard_Toad_specificity_optimal
rtdetr,clahe,0,pretrained,val,0.7647502084046095,0.5884861005497696,0.5515261971785742,0.863634551236223,0.5515261971785742,0.5570969750762282,0.7833698030634574,0.4741721854304636,0.199,0.95,0.995,1.0,1.0,0.7191000000000001,0.95,0.7421536501376004,0.6310679611650486,0.8552631578947368,0.407,0.95
rtdetr,clahe,0,scratch,test,0.6571919479998095,0.4340101371588848,0.5525865151928406,0.853189771414096,0.5525865151928406,0.6221581410721502,0.7057902973395931,0.6161202185792349,0.1005,0.95,0.4958583690987124,0.1,0.5,0.48340000000000005,0.95,0.8535593338285662,0.7323232323232324,0.8529411764705882,0.7679,0.95
rtdetr,clahe,0,scratch,val,0.7455486630263373,0.568522841183071,0.6702684307795188,0.6270832623749006,0.6702684307795188,0.5191193764086471,0.7145557655954632,0.5006622516556292,0.1005,0.95,0.995,0.3333333333333333,1.0,0.48340000000000005,0.95,0.7225266126703649,0.6190476190476191,0.6842105263157895,0.7679,0.95
rtdetr,clahe,1,pretrained,test,0.6262905155884123,0.5296526198657341,0.7241312591904651,0.4915910509673253,0.7241312591904651,0.7416296506128229,0.7618320610687023,0.6816939890710383,0.1822,0.95,0.2275,0.0,0.0,0.7149,0.95,0.909741896152414,0.7908163265306123,0.9117647058823529,0.4851,0.95
rtdetr,clahe,1,pretrained,val,0.8557822953802047,0.6229442505587404,0.7709354745698632,0.8083576039426315,0.7709354745698632,0.7081789083656431,0.7732919254658385,0.6596026490066225,0.1822,0.95,0.995,1.0,1.0,0.7149,0.95,0.8641679777749711,0.7951807228915663,0.868421052631579,0.4851,0.95
rtdetr,clahe,1,scratch,test,0.55889611394454,0.44213922719132,0.7773895946968872,0.6072371623702969,0.7773895946968872,0.6822579672619242,0.6294416243654822,0.6775956284153005,0.0975,0.95,0.1421428571428571,0.0,0.0,0.7201000000000001,0.95,0.8522875174288386,0.7914438502673797,0.8705882352941177,0.4598,0.95
rtdetr,clahe,1,scratch,val,0.7129510333798041,0.5142917337709256,0.5879866368912744,0.8958014943589069,0.5879866368912744,0.4423482241300796,0.47192513368983957,0.4675496688741722,0.0975,0.95,0.995,1.0,1.0,0.7201000000000001,0.95,0.701504876009333,0.6585365853658537,0.7105263157894737,0.4598,0.95
rtdetr,clahe,2,pretrained,test,0.8230709693023281,0.5876814317936229,0.8043748779676855,0.7077445950676179,0.8043748779676855,0.7113062609187213,0.7689594356261023,0.5956284153005464,0.1355,0.95,0.8283333333333331,0.18181818181818182,1.0,0.0991,0.95,0.92957331365493,0.8596491228070176,0.8647058823529412,0.8083,0.95
rtdetr,clahe,2,pretrained,val,0.4188125958010462,0.3524117431542636,0.3968728476447309,0.7654060732508562,0.3968728476447309,0.5309294665062918,0.6624087591240876,0.48079470198675495,0.1355,0.95,0.0003146742567994,0.0,0.0,0.0991,0.95,0.7251936466400475,0.6022727272727273,0.6973684210526315,0.8083,0.95
rtdetr,clahe,2,scratch,test,0.8141709968474856,0.6737283765594305,0.7584211569296969,0.840861168591806,0.7584211569296969,0.5542405022466391,0.6540447504302926,0.5191256830601093,0.1164,0.95,0.995,1.0,1.0,0.5955,0.95,0.8932724882958174,0.6652360515021459,0.9117647058823529,0.6990000000000001,0.95
